transaction_id,customer_id,date,product,amount
1,440,2021-01-01,Product_C,367
2,204,2021-01-02,Product_B,432
3,486,2021-01-03,Product_B,426
4,321,2021-01-04,Product_D,170
5,31,2021-01-05,Product_B,294
6,388,2021-01-06,Product_A,334
7,113,2021-01-07,Product_D,207
8,365,2021-01-08,Product_B,168
9,434,2021-01-09,Product_D,89
10,325,2021-01-10,Product_A,40
11,414,2021-01-11,Product_A,482
12,376,2021-01-12,Product_B,121
13,344,2021-01-13,Product_D,55
14,443,2021-01-14,Product_B,362
15,67,2021-01-15,Product_B,214
16,75,2021-01-16,Product_D,61
17,45,2021-01-17,Product_B,147
18,260,2021-01-18,Product_A,481
19,154,2021-01-19,Product_D,83
20,155,2021-01-20,Product_D,50
21,430,2021-01-21,Product_D,488
22,363,2021-01-22,Product_D,86
23,448,2021-01-23,Product_B,396
24,475,2021-01-24,Product_B,196
25,234,2021-01-25,Product_A,379
26,51,2021-01-26,Product_C,61
27,306,2021-01-27,Product_C,427
28,262,2021-01-28,Product_A,442
29,315,2021-01-29,Product_C,421
30,125,2021-01-30,Product_A,476
31,399,2021-01-31,Product_B,96
32,245,2021-02-01,Product_D,118
33,30,2021-02-02,Product_D,489
34,426,2021-02-03,Product_B,406
35,485,2021-02-04,Product_D,234
36,122,2021-02-05,Product_D,491
37,125,2021-02-06,Product_C,490
38,37,2021-02-07,Product_B,257
39,170,2021-02-08,Product_C,78
40,124,2021-02-09,Product_C,129
41,357,2021-02-10,Product_D,76
42,35,2021-02-11,Product_D,70
43,87,2021-02-12,Product_B,453
44,134,2021-02-13,Product_D,336
45,196,2021-02-14,Product_D,417
46,274,2021-02-15,Product_B,200
47,201,2021-02-16,Product_D,479
48,369,2021-02-17,Product_C,198
49,285,2021-02-18,Product_B,160
50,77,2021-02-19,Product_D,295
51,59,2021-02-20,Product_A,453
52,431,2021-02-21,Product_B,411
53,126,2021-02-22,Product_B,105
54,500,2021-02-23,Product_A,321
55,401,2021-02-24,Product_D,318
56,109,2021-02-25,Product_D,272
57,224,2021-02-26,Product_B,106
58,496,2021-02-27,Product_B,462
59,278,2021-02-28,Product_D,122
60,68,2021-03-01,Product_D,485
61,69,2021-03-02,Product_C,134
62,165,2021-03-03,Product_B,465
63,489,2021-03-04,Product_B,472
64,305,2021-03-05,Product_A,445
65,397,2021-03-06,Product_C,141
66,162,2021-03-07,Product_D,427
67,365,2021-03-08,Product_C,462
68,342,2021-03-09,Product_D,426
69,309,2021-03-10,Product_D,130
70,379,2021-03-11,Product_C,206
71,343,2021-03-12,Product_B,303
72,435,2021-03-13,Product_D,491
73,387,2021-03-14,Product_C,131
74,42,2021-03-15,Product_A,291
75,354,2021-03-16,Product_C,394
76,416,2021-03-17,Product_A,269
77,109,2021-03-18,Product_D,48
78,51,2021-03-19,Product_C,63
79,250,2021-03-20,Product_C,483
80,497,2021-03-21,Product_A,170
81,341,2021-03-22,Product_C,298
82,430,2021-03-23,Product_C,209
83,383,2021-03-24,Product_D,285
84,492,2021-03-25,Product_C,25
85,21,2021-03-26,Product_B,414
86,300,2021-03-27,Product_A,182
87,139,2021-03-28,Product_C,257
88,359,2021-03-29,Product_A,392
89,324,2021-03-30,Product_A,227
90,499,2021-03-31,Product_A,96
91,385,2021-04-01,Product_C,91
92,92,2021-04-02,Product_C,71
93,447,2021-04-03,Product_A,296
94,280,2021-04-04,Product_B,51
95,125,2021-04-05,Product_A,21
96,483,2021-04-06,Product_B,330
97,397,2021-04-07,Product_A,243
98,111,2021-04-08,Product_D,338
99,354,2021-04-09,Product_A,140
100,139,2021-04-10,Product_A,124
101,484,2021-04-11,Product_C,227
102,435,2021-04-12,Product_B,146
103,273,2021-04-13,Product_D,115
104,99,2021-04-14,Product_B,188
105,252,2021-04-15,Product_D,25
106,338,2021-04-16,Product_A,481
107,104,2021-04-17,Product_C,251
108,214,2021-04-18,Product_C,343
109,249,2021-04-19,Product_B,390
110,152,2021-04-20,Product_C,396
111,250,2021-04-21,Product_B,235
112,275,2021-04-22,Product_B,490
113,165,2021-04-23,Product_D,251
114,487,2021-04-24,Product_B,417
115,341,2021-04-25,Product_D,466
116,8,2021-04-26,Product_C,150
117,284,2021-04-27,Product_B,395
